"STATE"	"IDCENSUS"	"NAME"	"CONUM"	"ENROLL"	"TOTALREV"	"TFEDREV"	"TSTREV"	"TLOCREV"	"TOTALEXP"	"TCURISAL"	"TCURIBEN"	"PPCSTOT"	"PPSALWG"	"PPEMPBEN"	"PPITOTAL"	"PPISALWG"	"PPIEMBEN"
"1"	"AL"	1500100100000	"AUTAUGA COUNTY SCHOOL DISTRICT"	1001	9609	80867	7447	53842	19578	76672	29118	11425	7622	4478	1886	4563	3030	1189
"2"	"AL"	1500200100000	"BALDWIN COUNTY SCHOOL DISTRICT"	1003	30931	338236	23710	145180	169346	299880	103922	39062	8942	5060	1992	5332	3360	1263
"3"	"AL"	1500300100000	"BARBOUR COUNTY SCHOOL DISTRICT"	1005	912	10116	2342	5434	2340	10070	2975	1156	10621	5569	2263	5380	3262	1268
"4"	"AL"	1500300200000	"EUFAULA CITY SCHOOL DISTRICT"	1005	2842	26182	3558	15900	6724	29843	9480	3808	8851	4931	2022	5384	3336	1340
"5"	"AL"	1500400100000	"BIBB COUNTY SCHOOL DISTRICT"	1007	3322	32486	3664	21846	6976	31662	10889	4219	8931	5150	2124	4882	3278	1270
"6"	"AL"	1500500100000	"BLOUNT COUNTY SCHOOL DISTRICT"	1009	7870	69966	6929	48563	14474	68297	24252	9609	8192	4644	1966	4758	3082	1221
"7"	"AL"	1500500200000	"ONEONTA CITY SCHOOL DISTRICT"	1009	1477	13464	992	8541	3931	12726	4382	1699	7884	4387	1750	4739	2967	1150
"8"	"AL"	1500600100000	"BULLOCK COUNTY SCHOOL DISTRICT"	1011	1505	14876	3061	9273	2542	14713	4572	1761	9556	5389	2219	4649	3038	1170
"9"	"AL"	1500700100000	"BUTLER COUNTY SCHOOL DISTRICT"	1013	3135	32062	6439	18770	6853	31393	10411	4018	9213	5346	2139	5130	3321	1282
"10"	"AL"	1500800200000	"ANNISTON CITY SCHOOL DISTRICT"	1015	2099	23776	4344	11810	7622	24320	8027	3185	11277	5726	2307	6026	3824	1517
"11"	"AL"	1500800300000	"CALHOUN COUNTY SCHOOL DISTRICT"	1015	9054	86559	8361	54887	23311	93475	29327	11878	9134	5038	2188	5003	3239	1312
